,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,4.6275,4.655,4.5275,4.6225,4.242311,80020400
1,2010-01-05,4.605,4.74,4.605,4.69,4.30426,72864800
2,2010-01-06,4.6875,4.73,4.6425,4.72,4.331791,64916800
3,2010-01-07,4.695,4.715,4.5925,4.6275,4.246899,54779200
4,2010-01-08,4.59,4.67,4.5625,4.6375,4.256077,47816800
5,2010-01-11,4.6625,4.6825,4.5075,4.5725,4.196423,55661200
6,2010-01-12,4.505,4.5225,4.3225,4.4175,4.054172,62743200
7,2010-01-13,4.4475,4.4925,4.275,4.4775,4.109237,50886800
8,2010-01-14,4.4225,4.455,4.3325,4.4075,4.044994,60852400
9,2010-01-15,4.375,4.4125,4.22,4.2775,3.925684,81819200
10,2010-01-19,4.245,4.385,4.2325,4.3575,3.999103,54532800
11,2010-01-20,4.3025,4.3575,4.245,4.34,3.983046,71972800
12,2010-01-21,4.3375,4.415,4.2225,4.2625,3.911918,60863200
13,2010-01-22,4.2125,4.29,4.09,4.115,3.77655,106791600
14,2010-01-25,4.1825,4.265,4.1525,4.185,3.840793,64367600
15,2010-01-26,4.165,4.1925,4.05,4.0525,3.71919,71463600
16,2010-01-27,4.05,4.1775,4.005,4.1625,3.820144,81250400
17,2010-01-28,4.195,4.21,3.965,4.0225,3.691659,68776400
18,2010-01-29,4.0675,4.1125,3.7875,3.8475,3.531051,77470000
19,2010-02-01,3.8625,4.15,3.83,4.1425,3.801788,94983200
20,2010-02-02,4.1275,4.2375,4.115,4.185,3.840793,84981200
21,2010-02-03,4.1475,4.2375,4.1275,4.22,3.872914,56229600
22,2010-02-04,4.1825,4.1825,3.93,3.975,3.648065,78348000
23,2010-02-05,3.97,4.065,3.9,4.055,3.721485,60485600
24,2010-02-08,4.0425,4.145,3.9675,4.0475,3.714602,44516000
25,2010-02-09,4.1125,4.1325,3.975,4.015,3.684776,93014400
26,2010-02-10,4.04,4.13,4.0125,4.0925,3.755902,53582800
27,2010-02-11,4.1575,4.325,4.1275,4.28,3.92798,69598000
28,2010-02-12,4.25,4.425,4.2025,4.3375,3.980751,78021200
29,2010-02-16,4.395,4.435,4.3425,4.4175,4.054172,45702400
30,2010-02-17,4.4725,4.475,4.3325,4.46,4.093175,87656000
31,2010-02-18,4.215,4.2375,4.0525,4.1675,3.824733,151550800
32,2010-02-19,4.15,4.195,4.125,4.145,3.804084,51054800
33,2010-02-22,4.1625,4.225,4.125,4.1525,3.810967,45808400
34,2010-02-23,4.165,4.1825,4.01,4.0525,3.71919,48976400
35,2010-02-24,4.0875,4.1775,4.075,4.1375,3.797201,44586800
36,2010-02-25,4.0425,4.11,3.94,4.1,3.762785,57697200
37,2010-02-26,4.08,4.11,4.025,4.05,3.716897,39339600
38,2010-03-01,4.0525,4.2325,4.02,4.2125,3.866032,55586800
39,2010-03-02,4.25,4.3025,4.18,4.21,3.863736,53864800
