,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,24.66,25.190001,24.66,24.85,20.751328,26795000
1,2010-01-05,24.719999,24.85,24.35,24.82,20.726269,28669900
2,2010-01-06,24.77,24.92,24.379999,24.459999,20.425653,24560700
3,2010-01-07,24.459999,24.610001,24.08,24.379999,20.35885,30469700
4,2010-01-08,24.280001,24.75,24.25,24.68,20.609364,23542400
5,2010-01-11,24.690001,24.799999,24.370001,24.690001,20.617716,19002400
6,2010-01-12,24.559999,24.610001,24.309999,24.559999,20.509159,26204600
7,2010-01-13,24.629999,24.99,24.549999,24.799999,20.70957,24912300
8,2010-01-14,25.129999,25.58,25.049999,25.34,21.20326,44685200
9,2010-01-15,25.469999,25.639999,24.99,25.24,21.119583,42296200
10,2010-01-19,25.32,25.5,25.120001,25.33,21.194893,22732200
11,2010-01-20,25.049999,25.129999,24.51,25.059999,20.968971,39971500
12,2010-01-21,25.190001,25.540001,24.59,24.83,20.776512,41756100
13,2010-01-22,24.940001,25.049999,24.110001,24.15,20.207521,33681500
14,2010-01-25,24.24,24.27,23.82,24.030001,20.107115,26366600
15,2010-01-26,23.93,24.129999,23.700001,23.879999,19.981604,28746000
16,2010-01-27,23.9,24.049999,23.540001,23.860001,19.964867,28819300
17,2010-01-28,24.08,24.18,23.290001,23.469999,19.638542,41245700
18,2010-01-29,23.65,23.83,22.98,23.059999,19.295464,49957800
19,2010-02-01,23.360001,23.379999,22.860001,23.219999,19.429346,29572800
20,2010-02-02,23.33,23.85,23.24,23.76,19.881195,32150600
21,2010-02-03,23.75,23.84,23.52,23.75,19.872828,23101100
22,2010-02-04,23.610001,23.780001,23.1,23.110001,19.337311,33254900
23,2010-02-05,23.35,23.67,23.07,23.549999,19.705473,45919600
24,2010-02-08,23.540001,23.65,23.1,23.120001,19.345671,32929200
25,2010-02-09,23.469999,23.719999,23.25,23.51,19.672007,34084100
26,2010-02-10,23.51,23.610001,22.92,23.110001,19.337311,40139200
27,2010-02-11,23.059999,23.51,22.83,23.35,19.538134,28159000
28,2010-02-12,23.110001,23.5,22.969999,23.41,19.588327,33657700
29,2010-02-16,23.690001,23.85,23.440001,23.809999,19.923027,21582200
30,2010-02-17,23.950001,24.280001,23.940001,24.18,20.23263,26147200
31,2010-02-18,24.110001,24.57,24.059999,24.52,20.517122,31679100
32,2010-02-19,24.41,24.540001,24.18,24.32,20.349771,25941000
33,2010-02-22,24.59,24.98,24.440001,24.809999,20.759777,37081800
34,2010-02-23,24.809999,24.889999,24.379999,24.48,20.48365,25098300
35,2010-02-24,24.629999,24.83,24.459999,24.77,20.726297,24530400
36,2010-02-25,24.450001,24.9,24.209999,24.870001,20.809982,29145200
37,2010-02-26,24.959999,24.959999,24.540001,24.65,20.625898,21048700
38,2010-03-01,24.6,24.91,24.540001,24.74,20.701208,19744300
39,2010-03-02,24.790001,24.950001,24.52,24.58,20.567326,23535000
40,2010-03-03,24.51,24.690001,24.4,24.5,20.500389,20726400
41,2010-03-04,24.469999,24.860001,24.280001,24.76,20.717937,20925500
42,2010-03-05,24.860001,25.0,24.84,24.950001,20.876923,19312900
43,2010-03-08,24.969999,24.969999,24.68,24.700001,20.667742,16843600
44,2010-03-09,24.6,25.1,24.559999,24.879999,20.81835,21835800
45,2010-03-10,24.790001,25.02,24.68,24.870001,20.809982,23095900
46,2010-03-11,24.799999,25.25,24.799999,25.139999,21.035912,24214600
47,2010-03-12,25.120001,25.190001,24.73,25.049999,20.960596,35344700
48,2010-03-15,24.92,25.379999,24.879999,25.280001,21.153051,22025300
49,2010-03-16,25.379999,25.41,24.9,25.209999,21.094481,25478300
50,2010-03-17,25.23,25.700001,25.139999,25.469999,21.312031,30309400
51,2010-03-18,25.43,25.6,25.27,25.379999,21.236725,29185800
52,2010-03-19,25.549999,25.73,24.950001,25.190001,21.077749,45881000
53,2010-03-22,25.190001,25.700001,25.16,25.559999,21.387342,24945500
54,2010-03-23,25.67,26.0,25.540001,25.99,21.747149,25834200
55,2010-03-24,25.98,26.0,25.700001,25.76,21.554689,28837000
56,2010-03-25,25.950001,26.25,25.719999,26.040001,21.788988,54350900
57,2010-03-26,25.700001,26.0,25.370001,25.690001,21.496119,58562200
58,2010-03-29,25.65,25.85,25.41,25.57,21.395712,28975300
59,2010-03-30,25.48,25.58,25.219999,25.540001,21.370611,29819400
60,2010-03-31,25.33,25.790001,25.299999,25.709999,21.512854,27196400
61,2010-04-01,25.780001,25.950001,25.190001,25.459999,21.303665,26562700
62,2010-04-05,25.51,25.74,25.35,25.58,21.404076,19390200
63,2010-04-06,25.370001,25.940001,25.299999,25.83,21.613266,26937600
64,2010-04-07,25.76,25.99,25.75,25.91,21.680202,29833200
65,2010-04-08,25.879999,26.08,25.719999,25.83,21.613266,28266100
66,2010-04-09,25.799999,26.139999,25.65,26.129999,21.86429,19663700
67,2010-04-12,26.059999,26.280001,25.85,26.200001,21.964895,24773300
68,2010-04-13,26.01,26.629999,26.0,26.35,22.090647,33933000
69,2010-04-14,26.34,26.5,26.200001,26.379999,22.115797,27920000
70,2010-04-15,26.290001,26.4,26.139999,26.200001,21.964895,23828200
71,2010-04-16,26.09,26.370001,25.91,25.950001,21.755304,42289300
72,2010-04-19,25.98,26.299999,25.870001,26.190001,21.956511,27078800
73,2010-04-20,26.379999,26.41,26.02,26.15,21.922976,23703400
74,2010-04-21,26.120001,26.33,25.98,26.290001,22.040348,24276800
75,2010-04-22,26.139999,26.309999,25.860001,26.24,21.99843,27275800
