,AAPL,ADBE,ORCL,AMZN,INTC,MSFT,NVDA,IBM,NFLX,GOOGL,CRM,CSCO
0,75.934998,366.779999,52.599998,118.380501,59.169998,183.600006,76.217499,115.898659,436.529999,68.463997,169.899994,41.369999
1,77.532501,367.51001,53.57,118.980499,59.669998,184.679993,78.125,117.581261,435.549988,69.217003,175.899994,42.990002
2,78.752502,371.420013,53.529999,120.449997,60.130001,186.740005,80.654999,117.198853,440.519989,70.179497,182.669998,43.32
3,77.852501,365.100006,52.27,117.847504,58.389999,182.509995,78.025002,114.971321,431.820007,68.759003,177.539993,43.220001
4,76.912498,358.559998,51.650002,118.396004,57.740002,179.75,77.800003,110.640533,438.269989,67.416496,169.639999,41.950001
5,77.385002,355.390015,52.91,119.442497,59.080002,180.529999,80.305,111.806885,441.950012,67.843002,167.0,43.849998
6,76.927498,365.299988,52.919998,120.488998,58.279999,183.160004,84.907501,111.835564,454.190002,68.653,171.330002,44.27
7,78.739998,367.970001,53.150002,121.313004,59.919998,184.910004,87.502502,116.214149,452.579987,69.259003,172.5,45.060001
8,78.285004,372.200012,52.34,122.466499,60.290001,183.630005,88.055,115.0,451.040009,68.720001,176.039993,44.610001
9,79.807503,383.630005,52.900002,124.897003,63.099998,185.660004,89.699997,116.042068,447.670013,70.458,176.929993,45.439999
10,79.212502,382.170013,52.220001,122.336998,61.98,183.429993,87.752502,113.881454,436.25,70.337502,175.259995,44.639999
11,79.722504,385.26001,52.619999,121.844002,62.259998,183.509995,90.262497,113.183556,429.320007,70.662003,177.850006,44.900002
12,79.182503,376.630005,52.779999,121.093002,62.34,181.570007,87.177498,116.405357,414.769989,71.068497,176.520004,44.84
13,79.527496,375.170013,53.200001,120.519501,63.560001,181.809998,85.252502,120.019119,419.890015,71.014,176.600006,45.959999
14,79.5625,379.829987,53.619999,120.055,61.700001,181.399994,84.870003,119.053535,413.440002,70.912003,181.100006,45.599998
15,79.485001,386.600006,53.77,122.1185,62.93,183.25,88.754997,119.407265,419.730011,71.676003,174.789993,47.82
16,80.462502,389.679993,53.060001,123.552002,61.860001,182.830002,88.0625,119.397705,425.920013,71.7435,176.360001,46.299999
17,80.834999,390.440002,53.279999,123.620499,62.119999,184.910004,88.252502,120.458893,427.309998,72.115501,174.229996,46.889999
18,81.279999,389.920013,53.490002,123.919998,61.93,185.360001,87.695,123.374763,421.970001,71.962502,174.990005,46.939999
19,80.580002,385.799988,52.849998,123.029999,62.970001,182.919998,87.665001,123.221794,414.329987,70.714996,171.440002,46.860001
20,82.875,392.899994,53.98,124.150002,64.339996,187.199997,89.199997,126.252388,419.600006,72.000999,173.880005,47.830002
21,83.364998,397.779999,55.099998,126.203003,63.669998,188.360001,88.050003,129.780121,419.48999,72.402,176.550003,48.130001
22,85.997498,397.160004,54.18,130.042999,63.040001,189.800003,90.459999,126.070747,434.049988,72.603996,174.559998,48.049999
23,88.209999,406.820007,54.110001,132.372498,63.869999,196.839996,93.667503,124.158699,434.480011,73.235001,182.100006,47.419998
24,83.974998,387.670013,51.310001,127.898003,59.700001,186.270004,87.962502,112.820267,425.559998,70.095001,172.050003,43.669998
25,84.699997,406.540009,51.860001,127.250999,59.330002,187.740005,89.324997,116.548759,418.070007,70.646004,175.110001,45.07
26,85.747498,401.339996,53.25,128.634003,60.099998,188.940002,91.737503,116.300194,425.5,71.037003,178.610001,45.349998
27,88.019997,411.670013,54.59,130.763504,60.400002,193.570007,90.684998,119.646271,436.130005,72.323502,180.479996,46.48
28,87.897499,413.48999,51.52,132.048996,60.490002,194.240005,92.360001,118.690247,447.769989,72.626999,181.399994,46.169998
29,87.932503,420.459991,53.689999,132.699005,60.080002,196.320007,92.18,118.699806,449.869995,71.706001,187.660004,45.830002
30,87.43,428.01001,54.400002,133.750504,59.619999,195.149994,92.612503,117.084129,453.720001,71.232002,186.949997,45.32
31,89.717499,438.640015,55.119999,135.690994,60.09,200.570007,95.267502,115.745697,468.040009,72.532997,191.649994,45.16
32,91.6325,440.549988,55.189999,138.220505,59.919998,201.910004,94.5,114.158699,466.26001,73.198997,189.059998,45.470001
33,90.014999,431.679993,54.439999,136.720001,59.09,197.839996,92.355003,111.300194,457.850006,71.635002,185.550003,44.75
34,91.209999,436.950012,54.529999,137.729004,58.509998,200.339996,94.900002,113.79541,465.910004,72.055,188.339996,45.220001
35,88.407501,426.920013,54.18,134.643494,57.5,196.330002,91.550003,112.036331,443.399994,68.126999,183.169998,46.310001
