,Date,AAPL,ADBE,ORCL,AMZN,INTC,MSFT,NVDA,IBM,NFLX,TSLA,GOOGL,META,CRM,CSCO
0,2010-01-04,7.643214,37.09,24.85,6.695,20.879999,30.950001,4.6225,126.625237,7.64,1.588667,15.684434,38.23,18.705,24.690001
1,2010-01-05,7.656429,37.700001,24.82,6.7345,20.870001,30.959999,4.69,125.095604,7.358571,1.464,15.615365,34.029999,18.625,24.58
2,2010-01-06,7.534643,37.619999,24.459999,6.6125,20.799999,30.77,4.72,124.282982,7.617143,1.28,15.221722,31.0,18.592501,24.42
3,2010-01-07,7.520714,36.889999,24.379999,6.5,20.6,30.450001,4.6275,123.852776,7.485714,1.074,14.867367,32.0,18.51,24.530001
4,2010-01-08,7.570714,36.689999,24.68,6.676,20.83,30.66,4.6375,125.095604,7.614286,1.053333,15.065566,33.029999,18.5375,24.66
5,2010-01-11,7.503929,36.209999,24.690001,6.5155,20.950001,30.27,4.5725,123.785851,7.604286,1.164,15.042793,31.91,18.4125,24.59
6,2010-01-12,7.418571,35.66,24.559999,6.3675,20.610001,30.07,4.4175,124.770554,7.481429,1.16,14.776777,28.84,17.0725,24.200001
7,2010-01-13,7.523214,36.279999,24.799999,6.4555,20.959999,30.35,4.4775,124.502869,7.708571,1.136667,14.691942,28.190001,17.125,24.639999
8,2010-01-14,7.479643,35.900002,25.34,6.3675,21.48,30.959999,4.4075,126.491394,7.284286,1.209333,14.761011,29.6,17.297501,24.950001
9,2010-01-15,7.354643,35.869999,25.24,6.357,20.799999,30.860001,4.2775,125.984703,7.278571,1.322667,14.514515,27.719999,17.157499,24.4
10,2010-01-18,7.68,36.950001,25.33,6.3805,21.049999,31.1,4.3575,128.240921,7.314286,1.326,14.705205,26.9,17.375,24.85
11,2010-01-19,7.561786,36.490002,25.059999,6.289,21.08,30.59,4.34,124.521988,7.32,1.376,14.524775,25.870001,17.137501,24.41
12,2010-01-20,7.431071,35.82,24.83,6.331,20.84,30.01,4.2625,123.326958,7.312857,1.460667,14.589089,26.809999,16.719999,23.98
13,2010-01-21,7.0625,34.380001,24.15,6.0715,19.91,28.959999,4.115,119.980881,7.27,1.353333,13.764014,26.309999,16.135,22.969999
14,2010-01-22,7.2525,34.16,24.030001,6.0155,20.32,29.32,4.185,120.573616,7.018571,1.348,13.513514,27.1,16.032499,22.99
15,2010-01-25,7.355,33.939999,23.879999,5.974,20.0,29.5,4.0525,120.219887,7.135714,1.4,13.574074,27.01,16.352501,22.9
16,2010-01-26,7.424286,33.139999,23.860001,6.1375,20.24,29.67,4.1625,120.774376,7.281429,1.419333,13.566066,27.4,16.35,23.15
17,2010-01-27,7.1175,32.889999,23.469999,6.3015,19.92,29.16,4.0225,118.307838,9.005714,1.396667,13.370621,27.27,16.040001,22.52
18,2010-01-28,6.859286,32.299999,23.059999,6.2705,19.4,28.18,3.8475,117.007645,8.892857,1.37,13.261762,28.290001,15.8875,22.469999
19,2010-01-29,6.954643,32.48,23.219999,5.9435,19.610001,28.41,4.1425,119.187378,8.718571,1.381333,13.338839,30.01,16.295,22.73
20,2010-02-01,6.995,32.98,23.76,5.906,19.91,28.459999,4.185,120.00956,8.835714,1.356667,13.291291,31.41,16.264999,23.02
21,2010-02-02,7.115357,32.98,23.75,5.955,19.68,28.629999,4.22,120.133842,8.85,1.329333,13.534034,31.91,16.405001,23.07
22,2010-02-03,6.858929,32.240002,23.110001,5.797,19.02,27.84,3.975,117.59082,8.62,1.394667,13.182683,31.6,15.6075,23.16
23,2010-02-04,6.980714,32.77,23.549999,5.8695,19.469999,28.02,4.055,118.087952,8.691429,1.463333,13.295546,31.84,15.52,23.700001
24,2010-02-05,6.932857,32.049999,23.120001,5.8415,19.35,27.719999,4.0475,116.520073,8.7,1.417333,13.3501,33.049999,15.53,23.5
25,2010-02-08,7.006786,32.310001,23.51,5.9015,19.65,28.01,4.015,117.791588,8.875714,1.363333,13.424424,32.060001,16.165001,23.889999
26,2010-02-09,6.968571,32.759998,23.110001,5.868,19.690001,27.99,4.0925,117.40918,8.784286,1.306,13.374625,33.099998,16.182501,23.76
27,2010-02-10,7.095357,32.639999,23.35,6.0045,20.059999,28.120001,4.28,118.288719,9.051429,1.306667,13.423423,32.23,16.49,23.93
28,2010-02-11,7.156429,31.450001,23.41,5.983,20.43,27.93,4.3375,118.546844,9.025714,1.268667,13.341341,31.360001,16.272499,23.76
29,2010-02-12,7.264286,31.809999,23.809999,5.8765,20.719999,28.35,4.4175,119.722755,9.265714,1.193333,13.546046,31.1,16.549999,24.0
30,2010-02-15,7.233929,32.330002,24.18,5.8155,20.66,28.59,4.46,120.774376,9.215714,1.173333,13.468719,30.77,16.695,24.07
31,2010-02-16,7.2475,33.240002,24.52,5.904,20.84,28.969999,4.1675,122.189293,9.442857,1.221333,13.594094,31.200001,17.112499,24.280001
32,2010-02-17,7.2025,33.880001,24.32,5.876,20.82,28.77,4.145,121.596558,9.521429,1.252,13.532533,31.469999,17.23,24.360001
33,2010-02-18,7.157857,33.700001,24.809999,5.9005,20.870001,28.73,4.1525,121.271507,9.324286,1.276667,13.583584,31.73,17.26,24.299999
34,2010-02-19,7.037857,33.439999,24.48,5.862,20.389999,28.33,4.0525,120.898659,9.192857,1.251333,13.39014,32.169998,17.059999,24.049999
35,2010-02-22,7.166429,34.549999,24.77,5.986,20.700001,28.629999,4.1375,121.978966,9.241429,1.252667,13.30005,31.469999,17.360001,24.34
36,2010-02-23,7.214286,34.560001,24.870001,5.91,20.629999,28.6,4.1,121.481834,9.372857,1.273333,13.173924,30.969999,17.002501,24.33
37,2010-02-24,7.307857,34.650002,24.65,5.92,20.530001,28.67,4.05,121.567879,9.435714,1.342,13.183183,30.809999,16.987499,24.33
38,2010-02-25,7.463929,34.889999,24.74,6.227,20.870001,29.02,4.2125,122.915871,9.957143,1.28,13.330581,30.719999,17.725,24.6
39,2010-02-26,7.458929,34.740002,24.58,6.2765,20.700001,28.459999,4.21,121.816444,9.854286,1.326667,13.54004,28.25,17.959999,24.610001
40,2010-03-01,7.476071,34.82,24.5,6.2945,20.52,28.459999,4.1575,121.300194,9.65,1.316667,13.646647,28.09,17.6425,24.84
41,2010-03-02,7.525357,34.939999,24.76,6.4265,20.530001,28.629999,4.165,121.147224,9.715714,1.313333,13.878629,29.110001,17.7225,24.950001
42,2010-03-03,7.819643,35.16,24.950001,6.4455,20.790001,28.59,4.2925,121.653923,9.664286,1.324667,14.119369,29.0,18.07,25.209999
43,2010-03-04,7.824286,35.060001,24.700001,6.5055,20.77,28.629999,4.23,120.850861,9.811429,1.298667,14.076076,28.76,18.237499,26.129999
44,2010-03-05,7.965,35.119999,24.879999,6.441,20.940001,28.799999,4.3875,120.028679,9.991429,1.363333,14.018769,28.75,18.42,26.129999
45,2010-03-08,8.03,35.150002,24.870001,6.5255,21.190001,28.969999,4.3975,120.095604,10.182857,1.404,14.425676,28.450001,18.797501,25.870001
46,2010-03-09,8.053571,35.220001,25.139999,6.679,21.25,29.18,4.2975,121.988525,10.17,1.403333,14.543043,29.34,18.855,25.969999
47,2010-03-10,8.092857,35.16,25.049999,6.591,21.27,29.27,4.3125,122.313576,9.997143,1.369333,14.503003,26.85,18.9275,25.879999
48,2010-03-11,7.994286,35.490002,25.280001,6.5565,21.17,29.290001,4.29,122.208412,9.942857,1.393333,14.093594,23.709999,18.9,26.08
49,2010-03-12,8.016071,35.02,25.209999,6.5895,22.01,29.370001,4.44,123.011475,10.09,1.380667,14.144144,23.15,19.172501,26.15
50,2010-03-15,8.004286,35.490002,25.469999,6.567,22.24,29.629999,4.525,122.141495,10.131429,1.344667,14.153153,21.709999,19.184999,26.26
51,2010-03-16,8.023214,35.75,25.379999,6.638,22.200001,29.610001,4.365,122.734222,10.077143,1.381333,14.174174,20.879999,19.227501,26.34
52,2010-03-17,7.9375,34.669998,25.190001,6.5175,21.99,29.59,4.3125,122.093689,10.064286,1.408,14.014014,20.040001,19.004999,26.15
53,2010-03-18,8.026786,34.950001,25.559999,6.5235,22.24,29.6,4.3825,122.351814,10.412857,1.465333,13.951451,21.09,19.377501,26.280001
54,2010-03-19,8.155714,35.220001,25.99,6.463,22.67,29.879999,4.4725,123.680687,10.422857,1.396,13.738739,21.92,19.275,26.639999
55,2010-03-22,8.191786,36.509998,25.76,6.402,22.43,29.65,4.3225,122.877632,10.338571,1.348667,13.947197,20.719999,19.040001,26.450001
56,2010-03-23,8.094643,35.869999,26.040001,6.7365,22.35,30.01,4.335,123.556404,10.505714,1.404,14.086086,20.719999,18.9925,26.43
57,2010-03-24,8.246429,35.509998,25.690001,6.753,22.24,29.66,4.335,123.575523,10.614286,1.384667,14.081331,21.01,18.737499,26.469999
