,Date,Symbol,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,AAPL,7.6225,7.660714,7.585,7.643214,6.515213,493729600
0,2010-01-04,NVDA,4.6275,4.655,4.5275,4.6225,4.242311,80020400
0,2010-01-04,INTC,20.790001,21.030001,20.73,20.879999,14.020261,47800900
0,2010-01-04,IBM,125.411087,127.122368,125.095604,126.625237,81.314735,6438444
0,2010-01-04,AMZN,6.8125,6.8305,6.657,6.695,6.695,151998000
0,2010-01-04,NFLX,7.931429,7.961429,7.565714,7.64,7.64,17239600
0,2010-01-04,ORCL,24.66,25.190001,24.66,24.85,20.751328,26795000
0,2010-01-04,GOOGL,15.689439,15.753504,15.621622,15.684434,15.684434,78169752
0,2010-01-04,ADBE,36.650002,37.299999,36.650002,37.09,37.09,4710200
0,2010-01-04,CRM,18.6525,18.8825,18.547501,18.705,18.705,7906000
0,2010-01-04,MSFT,30.620001,31.1,30.59,30.950001,23.683071,38409100
1,2010-01-05,ADBE,37.040001,37.799999,36.869999,37.700001,37.700001,7108800
1,2010-01-05,AMZN,6.6715,6.774,6.5905,6.7345,6.7345,177038000
1,2010-01-05,IBM,125.889099,126.051628,124.378586,125.095604,80.332451,7156104
1,2010-01-05,NFLX,7.652857,7.657143,7.258571,7.358571,7.358571,23753100
1,2010-01-05,AAPL,7.664286,7.699643,7.616071,7.656429,6.526476,601904800
1,2010-01-05,INTC,20.940001,20.99,20.6,20.870001,14.013547,52357700
1,2010-01-05,ORCL,24.719999,24.85,24.35,24.82,20.726269,28669900
1,2010-01-05,GOOGL,15.695195,15.711712,15.554054,15.615365,15.615365,120067812
1,2010-01-05,NVDA,4.605,4.74,4.605,4.69,4.30426,72864800
1,2010-01-05,MSFT,30.85,31.1,30.639999,30.959999,23.690725,49749600
1,2010-01-05,CRM,18.612499,18.75,18.200001,18.625,18.625,7942400
2,2010-01-06,NFLX,7.361429,7.672857,7.197143,7.617143,7.617143,23290400
2,2010-01-06,NVDA,4.6875,4.73,4.6425,4.72,4.331791,64916800
2,2010-01-06,MSFT,30.879999,31.08,30.52,30.77,23.545338,58182400
2,2010-01-06,AAPL,7.656429,7.686786,7.526786,7.534643,6.422664,552160000
2,2010-01-06,INTC,20.809999,20.93,20.67,20.799999,13.966538,40037400
2,2010-01-06,IBM,124.933075,125.707458,124.101341,124.282982,79.810623,5863144
2,2010-01-06,CRM,18.6875,18.75,18.495001,18.592501,18.592501,5122400
2,2010-01-06,ORCL,24.77,24.92,24.379999,24.459999,20.425653,24560700
2,2010-01-06,ADBE,37.330002,37.740002,37.200001,37.619999,37.619999,5336400
2,2010-01-06,AMZN,6.73,6.7365,6.5825,6.6125,6.6125,143576000
2,2010-01-06,GOOGL,15.662162,15.662162,15.174174,15.221722,15.221722,158988852
3,2010-01-07,GOOGL,15.25025,15.265265,14.831081,14.867367,14.867367,256315428
3,2010-01-07,NVDA,4.695,4.715,4.5925,4.6275,4.246899,54779200
3,2010-01-07,MSFT,30.629999,30.700001,30.190001,30.450001,23.300467,50559700
3,2010-01-07,AMZN,6.6005,6.616,6.44,6.5,6.5,220604000
3,2010-01-07,NFLX,7.731429,7.757143,7.462857,7.485714,7.485714,9955400
3,2010-01-07,INTC,20.73,20.76,20.34,20.6,13.832253,54041500
3,2010-01-07,CRM,18.629999,18.737499,18.385,18.51,18.51,4840000
3,2010-01-07,IBM,124.158699,124.521988,123.240921,123.852776,79.534355,6109268
3,2010-01-07,ORCL,24.459999,24.610001,24.08,24.379999,20.35885,30469700
3,2010-01-07,AAPL,7.5625,7.571429,7.466071,7.520714,6.41079,477131200
3,2010-01-07,ADBE,37.41,37.59,36.810001,36.889999,36.889999,5576700
4,2010-01-08,IBM,123.393883,125.162521,123.374763,125.095604,80.332451,4390271
4,2010-01-08,AMZN,6.528,6.684,6.4515,6.676,6.676,196610000
4,2010-01-08,ADBE,36.75,36.970001,36.34,36.689999,36.689999,5429200
4,2010-01-08,AAPL,7.510714,7.571429,7.466429,7.570714,6.453412,447610800
4,2010-01-08,NFLX,7.498571,7.742857,7.465714,7.614286,7.614286,8180900
4,2010-01-08,MSFT,30.280001,30.879999,30.24,30.66,23.461161,51197400
4,2010-01-08,CRM,18.5175,18.5875,18.315001,18.5375,18.5375,5510400
4,2010-01-08,NVDA,4.59,4.67,4.5625,4.6375,4.256077,47816800
4,2010-01-08,INTC,20.540001,20.889999,20.4,20.83,13.986687,48234700
4,2010-01-08,ORCL,24.280001,24.75,24.25,24.68,20.609364,23542400
4,2010-01-08,GOOGL,14.814815,15.096346,14.742492,15.065566,15.065566,188783028
5,2010-01-11,AAPL,7.6,7.607143,7.444643,7.503929,6.396483,462229600
5,2010-01-11,CRM,18.65,18.674999,18.1975,18.4125,18.4125,6399200
5,2010-01-11,MSFT,30.709999,30.76,30.120001,30.27,23.162729,68754700
5,2010-01-11,AMZN,6.631,6.64,6.4605,6.5155,6.5155,175588000
5,2010-01-11,GOOGL,15.126627,15.126627,14.865866,15.042793,15.042793,288227484
5,2010-01-11,INTC,21.110001,21.15,20.82,20.950001,14.067264,51086400
5,2010-01-11,NVDA,4.6625,4.6825,4.5075,4.5725,4.196423,55661200
5,2010-01-11,NFLX,7.66,7.704286,7.528571,7.604286,7.604286,6783700
5,2010-01-11,ADBE,36.68,36.77,35.950001,36.209999,36.209999,4901400
5,2010-01-11,ORCL,24.690001,24.799999,24.370001,24.690001,20.617716,19002400
5,2010-01-11,IBM,125.296364,125.296364,123.011475,123.785851,79.491371,5993998
6,2010-01-12,ADBE,36.139999,36.139999,35.380001,35.66,35.66,5073900
6,2010-01-12,ORCL,24.559999,24.610001,24.309999,24.559999,20.509159,26204600
6,2010-01-12,CRM,17.610001,17.622499,17.065001,17.0725,17.0725,21053200
6,2010-01-12,INTC,20.870001,20.9,20.379999,20.610001,13.838964,69958400
6,2010-01-12,NFLX,7.528571,7.582857,7.451429,7.481429,7.481429,6330100
6,2010-01-12,IBM,123.355644,125.554497,123.326958,124.770554,80.123688,8453249
6,2010-01-12,GOOGL,14.956206,14.968969,14.714715,14.776777,14.776777,193937868
6,2010-01-12,MSFT,30.15,30.4,29.91,30.07,23.009691,65912100
6,2010-01-12,AAPL,7.471071,7.491786,7.372143,7.418571,6.323721,594459600
6,2010-01-12,AMZN,6.4495,6.491,6.3275,6.3675,6.3675,181926000
6,2010-01-12,NVDA,4.505,4.5225,4.3225,4.4175,4.054172,62743200
7,2010-01-13,IBM,124.65583,125.353729,123.479927,124.502869,79.951813,6752348
7,2010-01-13,INTC,20.719999,21.08,20.440001,20.959999,14.073982,71446700
7,2010-01-13,CRM,17.07,17.1975,16.7425,17.125,17.125,20649600
7,2010-01-13,NFLX,7.612857,7.754286,7.558571,7.708571,7.708571,14422100
7,2010-01-13,MSFT,30.26,30.52,30.01,30.35,23.223953,51863500
7,2010-01-13,AMZN,6.395,6.4855,6.2875,6.4555,6.4555,214464000
7,2010-01-13,ADBE,35.830002,36.360001,35.599998,36.279999,36.279999,3660100
7,2010-01-13,NVDA,4.4475,4.4925,4.275,4.4775,4.109237,50886800
7,2010-01-13,ORCL,24.629999,24.99,24.549999,24.799999,20.70957,24912300
7,2010-01-13,AAPL,7.423929,7.533214,7.289286,7.523214,6.412922,605892000
7,2010-01-13,GOOGL,14.426677,14.724224,14.361862,14.691942,14.691942,259604136
8,2010-01-14,ORCL,25.129999,25.58,25.049999,25.34,21.20326,44685200
8,2010-01-14,IBM,124.808792,126.873802,124.196938,126.491394,81.228783,7438943
8,2010-01-14,AMZN,6.457,6.519,6.32,6.3675,6.3675,195498000
8,2010-01-14,CRM,17.122499,17.432501,17.122499,17.297501,17.297501,10400400
8,2010-01-14,AAPL,7.503929,7.516429,7.465,7.479643,6.375781,432894000
8,2010-01-14,INTC,21.110001,21.549999,21.049999,21.48,14.423141,150821600
8,2010-01-14,NFLX,7.518571,7.575714,7.27,7.284286,7.284286,17685500
8,2010-01-14,MSFT,30.309999,31.1,30.26,30.959999,23.690725,63228100
8,2010-01-14,ADBE,36.130001,36.509998,35.790001,35.900002,35.900002,4536200
8,2010-01-14,NVDA,4.4225,4.455,4.3325,4.4075,4.044994,60852400
8,2010-01-14,GOOGL,14.612112,14.86987,14.584835,14.761011,14.761011,169434396
9,2010-01-15,INTC,21.389999,21.4,20.77,20.799999,13.966538,198078600
9,2010-01-15,GOOGL,14.848348,14.853854,14.465465,14.514515,14.514515,217162620
9,2010-01-15,MSFT,31.08,31.24,30.709999,30.860001,23.614204,79913200
9,2010-01-15,AAPL,7.533214,7.557143,7.3525,7.354643,6.269228,594067600
9,2010-01-15,ORCL,25.469999,25.639999,24.99,25.24,21.119583,42296200
9,2010-01-15,NVDA,4.375,4.4125,4.22,4.2775,3.925684,81819200
9,2010-01-15,ADBE,35.919998,36.209999,35.470001,35.869999,35.869999,6732300
9,2010-01-15,NFLX,7.245714,7.407143,7.232857,7.278571,7.278571,13031200
9,2010-01-15,AMZN,6.459,6.4825,6.353,6.357,6.357,307530000
